"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"378","Representing Florida's 26th Congressional District, Husband, Dad, Catholic, Son of Cuban exiles, GOP, UM gradx2, Belen Jesuit",409,2979,399,152,"https://t.co/2GWJaJ2q7U","Rep. Carlos Curbelo ",1414764103,0,1,"RepCurbelo","","en","2853309155",104,0,"http://pbs.twimg.com/profile_images/585513565362200577/AuQSSbgD_normal.jpg"
"379","Proudly serving Georgia's 1st Congressional District",221,964,15,168,"https://t.co/zGq0mX8dEy","Buddy Carter",1421022823,0,1,"RepBuddyCarter","","en","2973870195",57,0,"http://pbs.twimg.com/profile_images/554437784912400384/N6PPUUz2_normal.jpeg"
"380","Congressman Hice is honored to serve Georgia's 10th Congressional District.",131,864,36,297,"http://t.co/A3NK9zJVk8","Congressman Hice",1421088515,0,1,"CongressmanHice","Monroe, GA; Wash., D.C.","en","2975091705",56,0,"http://pbs.twimg.com/profile_images/554717519135522816/xNB3Iani_normal.jpeg"
"381","Rep. Barry Loudermilk represents Georgia's 11th Congressional District, which includes all of Bartow and Cherokee counties and portions of Cobb and Fulton.",295,1282,123,253,"https://t.co/FWd4vPQ7Po","Barry Loudermilk",1418237597,0,1,"RepLoudermilk","","en","2914163523",78,0,"http://pbs.twimg.com/profile_images/578949791146725376/LSA2VpBg_normal.jpeg"
"382","Proudly representing Georgia's 12th Congressional District",182,895,4,70,"http://t.co/RseyZoCFIB","Rick W. Allen",1420555518,0,1,"RepRickAllen","Augusta, GA and Washington, DC","en","2964287128",64,0,"http://pbs.twimg.com/profile_images/552476601510682624/vklJRMrV_normal.jpeg"
"383","Aloha!  Welcome to the official Twitter for Congressman Mark Takai (HI-01) -- husband, father, Hawaii National Guard veteran, public servant.",259,826,131,297,"http://t.co/6QVeQHosr6","Mark Takai",1421098899,0,1,"RepMarkTakai","Honolulu / Washington, D.C.","en","2975350155",60,0,"http://pbs.twimg.com/profile_images/554758316929216513/_cYT7T4k_normal.png"
"384","Official Account Of Iowa's 1st District Congressman Rod Blum. Member of @GOPoversight & the House Budget Committee #IA01",277,1842,44,843,"http://t.co/Bj8xkyTeIJ","Congressman Rod Blum",1420585189,0,1,"RepRodBlum","Northeast Iowa","en","2965083477",90,0,"http://pbs.twimg.com/profile_images/563377937609547776/QgjEd3ns_normal.jpeg"
"385","Official account of U.S. Congressman David Young, proudly representing the people of Iowa's 3rd District",767,1949,49,905,"http://t.co/vrYdw3pvSS","David Young (IA-3)",1307656125,0,1,"RepDavidYoung","#IA03","en","314205957",82,0,"http://pbs.twimg.com/profile_images/601351700960681984/vtK6KHeo_normal.jpg"
"386","",239,851,2,43,"http://t.co/4tXoH8E0H2","Rep. Mike Bost",1420574108,0,0,"RepBost","IL-12 Congressional District ","en","2964877294",57,0,"http://pbs.twimg.com/profile_images/553681697867575296/TbRJrmrc_normal.jpeg"
"387","Proudly representing Louisiana's 5th District. Rural family physician, veteran, farmer, pilot, former veterinarian, husband, father & grandfather.",146,946,7,96,NA,"Rep. Ralph Abraham ",1420498914,0,1,"RepAbraham","","en","2962891515",63,0,"http://pbs.twimg.com/profile_images/552239677395046402/-PHUoJ7w_normal.jpeg"
